CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,pump_tag,low_flow_tag,na_tag,common_tag,tier,n
Total suspended solids,UNKOWN,NA,0,1,1,0,2,15
Total suspended solids,ASTM D3977B,NA,0,0,0,1,0,14
Total suspended solids,"Sus solids, wat, 105C,wt (NWQL)",00530,0,0,0,1,1,14
Total suspended solids,EPA160.2,NA,0,0,0,1,0,13
Total suspended solids,"Residue,total nonfilterable,105C",00530,0,0,1,1,2,13
Total suspended solids,Volatile Residue,NA,0,0,0,0,1,13
Total suspended solids,"Water Quality Measurements by Standard Methods, 14th Edition",NA,0,0,0,0,2,13
Total suspended solids,USGS I-3765-85,NA,1,0,0,0,2,12
Total suspended solids,USGS_UNKN,NA,0,0,1,0,2,12
Total suspended solids,Unknown method - historic STORET DATA,NA,0,0,1,0,2,12
Suspended Sediment Concentration (SSC),2540 B ~ Total Solids Dried 103-105C in Water,NA,0,0,0,1,2,11
Suspended Sediment Concentration (SSC),CALCULATION,NA,0,0,1,0,2,11
Suspended Sediment Concentration (SSC),LABORATORY CALCULATION,NA,0,0,1,0,2,11
Suspended Sediment Concentration (SSC),SM 2540D,NA,0,0,0,1,2,11
Total suspended solids,209 C ~ Residue Non- filterable (TSS) ,NA,0,0,0,0,1,11
Total suspended solids,Harrel's TSS Procedure at BITH,NA,0,0,0,0,1,11
Total suspended solids,"Sus solids, wat, 110C,wt Ocala)",70299,0,0,1,1,2,11
Total suspended solids,"Susp solids, w, 105C (2540D;PA)",70293,0,0,1,1,2,11
Total suspended solids,analyticTSS_101,NA,0,1,0,0,2,11
Total suspended solids,NA,70292,1,0,1,1,2,11
Total suspended solids,"Suspended solids, freeze dried",00530,0,0,0,1,1,10
Suspended Sediment Concentration (SSC),Sediment conc by centrifuge,80154,0,0,0,1,0,9
Suspended Sediment Concentration (SSC),Sediment conc by filtration,80154,0,1,0,1,2,9
Total suspended solids,2540 C ~ Total Dissolved Solids in Water,NA,1,0,0,1,2,9
Total suspended solids,EPA 160.1,NA,0,0,0,1,0,9
Suspended Sediment Concentration (SSC),Sed conc by acoustic backscatter,80154,0,0,1,1,2,8
Suspended Sediment Concentration (SSC),USGS Unknown/Unspecified Analytical Procedure,NA,0,0,1,0,2,8
Total suspended solids,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,NA,1,0,0,0,2,8
Total suspended solids,Determination of Opacity of Emissions,NA,0,0,0,0,2,8
Total suspended solids,"TSS, 105C (EPA 160.2 /DODEC)",00530,1,0,0,1,2,8
Suspended Sediment Concentration (SSC),NA,80154,0,1,1,1,2,6
Total suspended solids,200.7 W  ~ Metals in Water by ICP-AES,NA,1,1,0,0,2,6
Total suspended solids,ASTM D3977C,NA,0,1,0,1,2,6
Total suspended solids,Nutrient water sample analyses from Santa Monica Bay,NA,1,0,0,0,2,6
Total suspended solids,"TSS, dried 103-105C (SM2540D)",00530,0,0,1,1,2,6
Total suspended solids,2540 E ~ Fixed and Volatile Solids in Water,NA,0,0,0,1,1,5
Total suspended solids,EPA 160.1,NA,0,0,0,1,1,5
Total suspended solids,MPSL-108v2,NA,0,0,0,1,1,5
Total suspended solids,Non-Filterable Residue - TSS,NA,1,1,0,0,2,5
Total suspended solids,SM 2540D,NA,0,1,0,1,2,5
Total suspended solids,"Suspended Sediment determined by Filtering, Ashing, and Weighing",NA,0,0,0,0,2,5
Total suspended solids,TSS,NA,0,0,0,0,1,5
Suspended Sediment Concentration (SSC),Suspended-Sediment in Water,NA,1,0,0,0,1,4
Total suspended solids,200.8 ~ EPA; Metals in Waters by ICP/MS,NA,0,0,1,0,2,4
Total suspended solids,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,NA,0,0,1,0,2,4
Total suspended solids,HARDNESS IN WATER BY EDTA TITRATION,NA,0,0,0,0,2,4
Total suspended solids,Metals in Water by ICP-AES,NA,1,0,0,0,2,4
Total suspended solids,Standard Analytical Procedure,NA,0,0,0,0,2,4
Total suspended solids,TOTAL FILTRATABLE RESIDUE,NA,0,0,0,0,2,4
Suspended Sediment Concentration (SSC),FIELD PARAMETERS,NA,0,0,0,0,2,3
Suspended Sediment Concentration (SSC),METALS,NA,0,0,0,0,2,3
Suspended Sediment Concentration (SSC),SM 2540 F,NA,0,0,0,1,2,3
Suspended Sediment Concentration (SSC),"TOTAL SUSPENDED SOLIDS, DRIED AT 103-105C",NA,0,0,0,0,2,3
Total suspended solids,2540C ~ Solids in Water (Total Dissolved Solids Dried at 180oC),NA,1,0,0,1,2,3
Total suspended solids,Non-filterable Residue by Filtration and Drying,NA,0,0,0,0,1,3
Suspended Sediment Concentration (SSC),EPA 200.8,NA,0,0,0,0,2,2
Suspended Sediment Concentration (SSC),SM 3112 B,NA,0,0,0,0,2,2
Suspended Sediment Concentration (SSC),Sediment by pressure difference,80154,0,0,0,1,0,2
Suspended Sediment Concentration (SSC),Sediment by pressure difference,80154,0,0,1,1,2,2
Suspended Sediment Concentration (SSC),Sediment conc from size analysis,NA,0,0,0,0,2,2
Total suspended solids,2540 B ~ Total Solids Dried 103-105C in Water,NA,1,0,0,1,2,2
Total suspended solids,2540 F ~ Settleable Solids in Water,NA,0,1,0,1,2,2
Total suspended solids,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,NA,0,0,0,0,2,2
Total suspended solids,I-3765-85,NA,0,1,0,0,2,2
Total suspended solids,SM 2540 D v20,NA,0,0,0,1,1,2
Total suspended solids,"Susp solids,105C(160.2;CO;HFMAN)",00530,1,0,0,1,2,2
Total suspended solids,Suspended-Sediment in Water,NA,0,1,0,0,2,2
Total suspended solids,"TSS, dried 103-105C (SM2540D)",00530,0,0,0,1,1,2
Total suspended solids,Unknown,NA,0,0,1,0,2,2
Total suspended solids,analyticTSS_101,NA,1,1,0,0,2,2
Suspended Sediment Concentration (SSC),Confederated Salish and Kootenai Tribes Quality Assurance Project Plan,NA,0,0,1,0,2,1
Suspended Sediment Concentration (SSC),EPA 200.7,NA,0,0,0,0,2,1
Suspended Sediment Concentration (SSC),Sediment by pressure difference,80154,1,0,0,1,0,1
Suspended Sediment Concentration (SSC),Sediment conc by centrifuge,80154,1,0,0,1,0,1
Total suspended solids,160.2 M ~ Total Suspended Solids,NA,0,1,0,1,2,1
Total suspended solids,2540 D ~ Total Suspended Solids in Water,NA,0,1,1,1,2,1
Total suspended solids,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,NA,1,0,0,0,2,1
Total suspended solids,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,NA,1,1,0,0,2,1
Total suspended solids,Analytical procedure not specified,NA,0,1,1,0,2,1
Total suspended solids,EPA 160.4,NA,0,0,0,1,0,1
Total suspended solids,EPA 300.0,NA,0,0,0,0,2,1
Total suspended solids,GS_UNKNOWN,NA,0,0,1,0,2,1
Total suspended solids,Metals in Water by Nebulization and ICP-AES,NA,0,0,0,0,2,1
Total suspended solids,Other or Unknown Procedure,NA,1,1,1,0,2,1
Total suspended solids,"Residue,total nonfilterable,105C",00530,0,0,0,1,1,1
Total suspended solids,See QA Plan for this Project,NA,0,1,0,0,2,1
Total suspended solids,"Solids, Suspended and Volatile Suspended",NA,0,1,0,0,2,1
Total suspended solids,TOTAL DISSOLVED SOLID DRIED AT 180 DEGREES CENTIGRAGE,NA,0,0,0,0,2,1
Total suspended solids,"TSS, 105C (SM 2540D; WI WSC)",00530,0,0,0,1,1,1
Total suspended solids,"TSS, 105C (SM 2540D; WI WSC)",00530,0,1,0,1,2,1
Total suspended solids,Total Organic Carbon by Combustion,NA,0,0,0,0,2,1
Total suspended solids,WRS 14B.1,NA,0,1,0,1,2,1
Total suspended solids,NA,00530,0,1,1,1,2,1
